epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,6403.26,0.73968,1.19111,1.14543,0.86157,0.80017,0.88165,0.77517,0.54929,0.67025,1.02411,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,6534.42,0.7325,1.18475,1.14465,0.86326,0.80872,0.88362,0.78276,0.53678,0.65514,1.0136,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,6673.26,0.73374,1.17465,1.14525,0.86224,0.81537,0.88491,0.77888,0.54248,0.65571,1.01746,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,6808.85,0.72641,1.16644,1.13783,0.87241,0.8121,0.89325,0.78945,0.53606,0.64719,1.01015,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,6938.85,0.72766,1.1459,1.13867,0.87559,0.81488,0.89324,0.7926,0.53443,0.64472,1.01011,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,7067.56,0.72302,1.14843,1.13772,0.87997,0.8271,0.89985,0.79876,0.52744,0.62243,1.00396,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,7191.95,0.73067,1.1548,1.13766,0.85125,0.84028,0.89532,0.79107,0.53334,0.63079,1.0058,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,7322.2,0.72179,1.15376,1.13442,0.87959,0.83041,0.90088,0.802,0.52554,0.61525,1.00152,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,7449.74,0.71809,1.12344,1.13251,0.8683,0.84043,0.90349,0.79917,0.52308,0.62528,0.99912,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,7578.83,0.71294,1.11623,1.13218,0.87501,0.83485,0.89886,0.79795,0.5226,0.61795,1.00067,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,7714.6,0.7111,1.11936,1.13079,0.87541,0.83444,0.89448,0.79612,0.51897,0.609,0.99676,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,7837.96,0.7033,1.0946,1.12563,0.86741,0.84705,0.89602,0.79856,0.51415,0.60598,0.99335,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,7979.3,0.71631,1.11457,1.13025,0.86887,0.84296,0.90244,0.80647,0.51504,0.58636,0.99347,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,8120.81,0.69721,1.07204,1.119,0.87899,0.84779,0.90634,0.81008,0.51334,0.58635,0.99227,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,8244.12,0.70699,1.09621,1.1279,0.89248,0.83729,0.90465,0.81018,0.50412,0.59179,0.98628,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,8371.38,0.70143,1.0838,1.12405,0.89432,0.83466,0.90424,0.81129,0.507,0.58693,0.98773,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,8503.31,0.69925,1.07731,1.12411,0.88813,0.84667,0.90786,0.81473,0.50205,0.58199,0.98285,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,8634.99,0.69803,1.06507,1.12075,0.89432,0.84597,0.90927,0.81948,0.50449,0.5809,0.98494,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,8762.06,0.70215,1.07022,1.12112,0.89965,0.85606,0.91318,0.82017,0.50741,0.57102,0.98795,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,8896.35,0.69182,1.05627,1.11635,0.89845,0.85163,0.91437,0.82085,0.5054,0.56213,0.98665,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
