epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,11506.7,0.60149,0.93933,1.10785,0.88171,0.84221,0.91374,0.83652,0.42306,0.53176,0.97256,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,11780.2,0.59339,0.91044,1.10275,0.88554,0.86616,0.92938,0.85261,0.41961,0.49341,0.97124,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,12053.4,0.59467,0.90524,1.10248,0.90644,0.84402,0.92497,0.84794,0.41473,0.50347,0.96175,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,12327.1,0.58964,0.89381,1.09874,0.9043,0.85914,0.92714,0.85409,0.4083,0.4913,0.95672,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,12603.9,0.58907,0.88575,1.09738,0.89168,0.87507,0.92923,0.85362,0.41144,0.48565,0.96163,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,12880,0.58225,0.88487,1.09963,0.91045,0.85211,0.92946,0.85418,0.41144,0.4962,0.96275,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,13158.6,0.58359,0.86933,1.09254,0.91325,0.86522,0.93172,0.86185,0.4054,0.46902,0.95967,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,13433.7,0.58101,0.87552,1.09512,0.89217,0.87357,0.93223,0.86083,0.40449,0.47838,0.95995,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,13708,0.58,0.85864,1.08968,0.91752,0.85845,0.93074,0.86093,0.39582,0.48204,0.95055,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,13986.2,0.58099,0.8541,1.09031,0.91827,0.86853,0.93455,0.86406,0.39687,0.46547,0.95447,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,14261.6,0.57548,0.8459,1.0929,0.91189,0.87786,0.9345,0.86488,0.3962,0.46747,0.95307,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,14538.1,0.57097,0.84132,1.08942,0.91182,0.87797,0.93835,0.86873,0.39822,0.45207,0.95188,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,14813.4,0.57127,0.82563,1.08304,0.92539,0.87727,0.94147,0.87094,0.39587,0.44946,0.9471,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,15089.3,0.5648,0.81293,1.08043,0.90931,0.88937,0.94185,0.87423,0.39112,0.44549,0.93982,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,15365.8,0.57029,0.81864,1.08232,0.92365,0.87795,0.94445,0.87448,0.38717,0.4406,0.94365,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,15642.9,0.56199,0.81407,1.07524,0.91588,0.88127,0.94068,0.87524,0.38676,0.43628,0.93959,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,15919.1,0.56051,0.79687,1.07553,0.91614,0.88049,0.9427,0.87353,0.38978,0.4347,0.93815,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,16193.4,0.55546,0.78397,1.07598,0.91788,0.89639,0.94306,0.88049,0.37722,0.42144,0.92988,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,16468.1,0.55442,0.79811,1.07321,0.92363,0.88747,0.94577,0.88045,0.37539,0.42125,0.929,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,16742.2,0.55105,0.76983,1.07385,0.91888,0.89507,0.94362,0.88052,0.37688,0.42661,0.93501,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,17015.9,0.55155,0.77662,1.06863,0.93313,0.88288,0.94335,0.88115,0.37336,0.42255,0.92872,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,17288.4,0.54337,0.75949,1.06714,0.92467,0.89063,0.94319,0.88188,0.37349,0.41851,0.92579,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,17563.6,0.5433,0.76781,1.06733,0.93871,0.8851,0.94508,0.88249,0.37477,0.41118,0.93106,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,17839,0.54547,0.7618,1.06671,0.91981,0.89819,0.9449,0.88234,0.36922,0.40861,0.92422,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,18116,0.54129,0.75662,1.06547,0.9353,0.88896,0.94511,0.88367,0.36931,0.40857,0.9255,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,18393.2,0.54161,0.7461,1.05893,0.92908,0.89561,0.94685,0.88415,0.36611,0.41172,0.92107,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,18670.5,0.53895,0.73445,1.0577,0.92526,0.89848,0.94837,0.88881,0.36432,0.40627,0.91809,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,18946,0.53198,0.72536,1.05917,0.92812,0.8962,0.9482,0.89009,0.36262,0.40318,0.91908,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,19217.9,0.52953,0.73061,1.05569,0.93692,0.88973,0.9469,0.88951,0.36242,0.40486,0.91603,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,19492.4,0.53336,0.72549,1.06156,0.9312,0.90632,0.9491,0.89068,0.36475,0.39907,0.91936,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,19769,0.52363,0.71303,1.0523,0.94219,0.89494,0.95117,0.8911,0.36273,0.39431,0.91991,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,20045.8,0.52128,0.70186,1.04773,0.93903,0.90734,0.95251,0.8929,0.35997,0.3916,0.91535,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,20321,0.52719,0.69894,1.05154,0.93138,0.91354,0.95196,0.89357,0.3563,0.39146,0.91209,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,20595.3,0.52132,0.70118,1.05057,0.9294,0.9111,0.95209,0.89403,0.35626,0.39332,0.91194,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,20871.6,0.52157,0.69686,1.05183,0.93649,0.91115,0.95281,0.89606,0.35394,0.39016,0.91098,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,21145.4,0.51181,0.66985,1.03949,0.93891,0.91029,0.9527,0.89707,0.35037,0.38813,0.90827,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,21425.1,0.51245,0.68025,1.04194,0.93737,0.90902,0.95193,0.89648,0.34696,0.3882,0.90699,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,21699.1,0.51228,0.66568,1.0462,0.94259,0.90622,0.95152,0.89596,0.34733,0.38806,0.90869,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,21970.9,0.5071,0.66197,1.04251,0.94054,0.9078,0.94941,0.89537,0.34763,0.38959,0.90925,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,22249.8,0.50703,0.65195,1.03884,0.93495,0.90932,0.95001,0.89561,0.34761,0.38678,0.90971,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
80,22524.8,0.50529,0.64994,1.03574,0.94283,0.90457,0.95077,0.89723,0.34925,0.38118,0.90954,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,22799,0.50502,0.6549,1.03762,0.945,0.9054,0.95168,0.89914,0.34837,0.37696,0.90746,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,23072.4,0.49694,0.63549,1.02918,0.94548,0.90609,0.95254,0.90027,0.34435,0.37108,0.90204,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
83,23348.8,0.49048,0.62048,1.02713,0.94812,0.90211,0.95339,0.90058,0.34498,0.36695,0.90247,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
